FieldNum,GangRelatedYN,CreatedDate,CreatedTime,CreatedID
18-41-FI,N,20180402,2223,531
18-42-FI,,20180405,2213,479
18-43-FI,Y,20180408,0842,535
18-44-FI,Y,20180410,1652,503
18-45-FI,Y,20180410,1715,503
18-46-FI,N,20180413,1515,351
18-53-FI,Y,20180422,1329,548
18-47-FI,N,20180414,1717,400
18-48-FI,N,20180414,1801,400
18-49-FI,N,20180415,0915,535
18-50-FI,N,20180415,1528,503
18-51-FI,N,20180415,1550,503
18-52-FI,N,20180417,2324,365
18-54-FI,Y,20180422,1857,407
18-55-FI,Y,20180422,2250,460
18-56-FI,Y,20180427,1408,535
18-57-FI,N,20180430,1227,544
18-58-FI,N,20180504,1149,548
18-59-FI,Y,20180507,0814,544
18-60-FI,N,20180508,2306,496
18-61-FI,N,20180514,1743,496
18-62-FI,N,20180518,2223,557
18-64-FI,N,20180519,1308,548
18-63-FI,Y,20180519,1053,548
18-65-FI,N,20180522,0020,574
18-66-FI,Y,20180523,1226,548
18-67-FI,N,20180525,0758,544
18-68-FI,N,20180530,0040,570
18-69-FI,N,20180531,1401,544
18-71-FI,N,20180605,1307,389
18-72-FI,N,20180612,1214,548
18-73-FI,Y,20180616,1905,548
18-74-FI,,20180617,2030,546
18-75-FI,,20180617,2030,546
18-76-FI,N,20180618,1219,548
18-77-FI,N,20180621,0901,552
18-79-FI,N,20180626,2309,443
18-80-FI,Y,20180627,1843,531
18-81-FI,Y,20180627,1951,407
18-82-FI,N,20180629,1220,548
18-83-FI,N,20180629,1729,548
18-84-FI,,20180701,0112,462
18-85-FI,N,20180701,1119,535
18-86-FI,Y,20180702,1714,407
18-87-FI,N,20180703,1201,543
18-88-FI,N,20180713,1817,557
18-89-FI,N,20180716,1159,548
18-90-FI,,20180722,2219,569
18-93-FI,N,20180727,1120,548
18-91-FI,N,20180723,1628,535
18-92-FI,Y,20180726,1527,507
18-94-FI,N,20180805,1051,577
18-95-FI,N,20180807,0221,576
18-96-FI,N,20180810,1625,535
18-97-FI,N,20180811,1327,588
18-98-FI,N,20180815,2331,548
18-99-FI,N,20180816,1116,535
18-100-FI,N,20180820,1338,389
18-101-FI,N,20180820,1839,594
18-102-FI,,20180821,1133,522
18-103-FI,Y,20180821,1139,577
18-104-FI,N,20180824,0222,559
18-105-FI,N,20180830,1635,535
18-108-FI,N,20180901,1116,548
18-106-FI,,20180831,1146,387
18-107-FI,N,20180901,1006,548
18-109-FI,N,20180903,1025,548
18-110-FI,N,20180909,1021,592
18-111-FI,N,20180921,1008,592
18-116-FI,N,20180928,1544,557
18-112-FI,N,20180925,1430,548
18-113-FI,N,20180925,1526,548
18-114-FI,N,20180927,1028,577
18-115-FI,Y,20180928,0153,557
18-117-FI,N,20180929,1518,557
18-118-FI,Y,20180929,1611,407
18-119-FI,N,20180929,2227,400
18-120-FI,N,20181002,2338,531
18-121-FI,N,20181003,1338,548
18-122-FI,N,20181004,1050,548
18-125-FI,N,20181008,1002,548
18-123-FI,Y,20181007,1152,548
18-124-FI,Y,20181007,1248,548
18-126-FI,N,20181014,1009,548
18-127-FI,Y,20181015,1042,535
18-128-FI,N,20181018,2007,506
18-129-FI,N,20181021,0939,592
18-130-FI,N,20181021,1534,548
18-131-FI,N,20181026,0316,375
18-132-FI,Y,20181029,0852,535
18-133-FI,N,20181029,0853,535
18-134-FI,Y,20181105,1306,506
18-135-FI,N,20181105,1446,506
18-136-FI,N,20181105,2233,506
18-138-FI,N,20181107,0114,592
18-139-FI,N,20181107,0116,592
18-137-FI,N,20181107,0022,506
18-140-FI,N,20181107,1344,506
18-141-FI,Y,20181107,1436,506
18-142-FI,N,20181107,1512,506
18-143-FI,N,20181111,1126,535
18-144-FI,Y,20181111,2143,506
18-145-FI,Y,20181112,1429,506
18-146-FI,N,20181113,1543,544
18-147-FI,Y,20181119,1418,503
18-148-FI,N,20181121,0134,586
18-149-FI,N,20181121,1418,548
18-150-FI,N,20181124,0845,548
18-151-FI,N,20181124,1445,548
18-152-FI,N,20181126,0806,544
18-154-FI,N,20181202,1326,553
18-155-FI,N,20181203,2048,506
18-153-FI,N,20181202,0808,548
18-156-FI,N,20181204,1335,506
18-157-FI,N,20181205,2224,506
18-158-FI,N,20181206,0207,506
18-159-FI,N,20181206,1452,506
18-160-FI,N,20181208,1217,548
18-161-FI,N,20181208,1609,544
18-162-FI,N,20181210,1242,506
18-163-FI,N,20181211,1622,506
18-164-FI,N,20181211,1637,506
18-165-FI,N,20181214,1339,506
18-166-FI,N,20181214,1447,506
18-167-FI,Y,20181220,1135,535
18-168-FI,Y,20181227,0928,507
18-169-FI,N,20181227,1628,506
18-170-FI,N,20181228,2304,506
18-171-FI,N,20181230,2315,506
19-6-FI,N,20190105,1450,587
19-1-FI,N,20190103,1305,535
19-2-FI,N,20190104,0929,482
19-3-FI,N,20190104,0947,535
19-4-FI,,20190104,1858,496
19-7-FI,N,20190106,0119,592
19-5-FI,N,20190105,1119,548
19-8-FI,N,20190107,0219,592
19-9-FI,N,20190108,0110,557
19-10-FI,N,20190109,0642,592
19-11-FI,Y,20190109,1032,548
19-12-FI,Y,20190111,0151,506
19-13-FI,Y,20190112,0015,506
19-14-FI,N,20190112,0940,573
19-15-FI,N,20190113,1445,389
19-16-FI,N,20190114,1538,557
19-17-FI,N,20190115,1552,535
19-18-FI,Y,20190116,2136,506
19-19-FI,N,20190119,0748,586
19-20-FI,N,20190121,0412,592
19-21-FI,N,20190122,2236,557
19-22-FI,N,20190123,0839,389
19-24-FI,N,20190125,1812,317
19-25-FI,N,20190125,2226,591
19-26-FI,Y,20190128,2131,407
19-27-FI,N,20190206,0249,586
19-28-FI,N,20190206,1855,557
19-29-FI,N,20190211,0814,548
19-30-FI,N,20190212,0332,586
19-31-FI,N,20190212,1526,535
19-32-FI,N,20190214,1519,535
19-33-FI,N,20190214,1850,557
19-34-FI,N,20190220,0121,443
19-35-FI,N,20190220,0317,586
19-36-FI,N,20190228,1537,548
19-37-FI,N,20190303,0334,592
19-38-FI,N,20190303,1024,535
19-39-FI,N,20190303,1026,535
19-40-FI,N,20190306,1516,548
19-41-FI,N,20190306,2233,506
19-42-FI,N,20190308,0821,544
19-43-FI,N,20190308,1044,544
19-44-FI,N,20190309,0309,586
19-45-FI,N,20190309,2243,506
19-46-FI,N,20190311,2308,506
19-48-FI,Y,20190314,1629,479
19-47-FI,N,20190314,1515,548
19-49-FI,N,20190318,2124,506
19-50-FI,N,20190318,2229,506
19-51-FI,N,20190324,1317,548
19-52-FI,N,20190326,0027,592
19-54-FI,N,20190328,1213,548
19-53-FI,Y,20190328,1038,535
19-55-FI,N,20190330,1518,548
19-56-FI,,20190405,2248,496
19-61-FI,N,20190420,1517,535
19-57-FI,N,20190409,1455,535
19-58-FI,N,20190410,2331,559
19-59-FI,N,20190416,2244,557
19-60-FI,N,20190419,0914,548
19-62-FI,N,20190424,1436,553
19-63-FI,N,20190426,0855,563
19-64-FI,N,20190426,1839,496
19-65-FI,Y,20190426,2224,496
19-66-FI,N,20190427,2050,506
19-67-FI,N,20190428,0616,586
19-68-FI,,20190429,1949,562
19-69-FI,N,20190502,1323,608
19-75-FI,Y,20190520,1506,535
19-70-FI,N,20190510,1929,557
19-71-FI,N,20190510,2215,597
19-72-FI,Y,20190514,2103,506
19-73-FI,N,20190516,0012,586
19-74-FI,N,20190516,2202,506
19-76-FI,N,20190524,1429,548
19-77-FI,N,20190526,1323,548
19-78-FI,N,20190527,2315,506
19-79-FI,N,20190528,2157,506
19-80-FI,Y,20190529,2226,506
19-81-FI,N,20190602,0353,592
19-82-FI,N,20190614,0827,544
19-83-FI,N,20190616,0212,585
19-92-FI,N,20190621,1544,557
19-84-FI,N,20190619,0258,592
19-85-FI,N,20190619,2327,547
19-86-FI,,20190620,1648,454
19-87-FI,N,20190620,1813,506
19-88-FI,N,20190620,1823,332
19-89-FI,N,20190620,1903,506
19-90-FI,N,20190620,2010,506
19-91-FI,N,20190620,2343,559
19-93-FI,N,20190624,1456,548
19-94-FI,N,20190625,1533,548
19-95-FI,,20190625,2045,400
19-96-FI,Y,20190628,2143,506
19-97-FI,N,20190702,2152,506
19-98-FI,N,20190703,0503,592
19-99-FI,N,20190706,1503,548
19-100-FI,N,20190707,1401,548
19-101-FI,N,20190707,2331,506
19-102-FI,,20190709,2046,506
19-103-FI,N,20190710,2215,506
19-104-FI,N,20190712,1003,389
19-105-FI,N,20190713,1308,548
19-106-FI,N,20190713,2259,557
19-107-FI,N,20190715,1124,548
19-108-FI,N,20190715,1445,317
19-109-FI,N,20190718,0420,587
19-110-FI,N,20190718,1523,532
19-111-FI,N,20190721,1640,496
19-112-FI,Y,20190721,2008,559
19-113-FI,N,20190721,2219,503
19-114-FI,N,20190726,2241,506
19-115-FI,N,20190727,0213,559
19-119-FI,N,20190731,1849,506
19-116-FI,N,20190731,1356,535
19-117-FI,N,20190731,1507,535
19-118-FI,N,20190731,1714,506
19-120-FI,N,20190731,1911,506
19-121-FI,Y,20190802,2007,548
19-122-FI,N,20190803,0517,557
19-123-FI,N,20190806,1709,496
