Year,ActivityDate,Method Received,Classification,Sub-Classification,CaseNumber,Location_Summary,Street Address,Location Detail,City,State,Type of location,OfficerId,Race,Ethnicity,Sex,Age
2016,4/6/16,Radio,FIO,Homeless Individual(s),2016-0F1-009450,"BOSTON (Logan Airport): Terminal A Terminal A Bldg#
31 100 Terminal Road",BOSTON (Logan Airport): Terminal A Terminal A Bldg#,Logan Airport,Boston,MA,Transit,1980,Black,,Male,40
2016,4/6/16,Self-initiated,FIO,,2016-0H4-002163,"294 WASHINGTON STREET,  9th floor, BOSTON, MA
,",294 WASHINGTON STREET,,Boston,MA,Private,3394,,,,
2016,4/6/16,Self-initiated,FIO,,2016-0H4-002163,"294 WASHINGTON STREET,  9th floor, BOSTON, MA
,",294 WASHINGTON STREET,,Boston,MA,Private,3695,,,,
2016,4/6/16,In-person,FIO,Homeless Individual(s),2016-0H6-002006,"COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY, BOSTON, MA
,",COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY,,Boston,MA,Public,3188,,,Male,39
2016,4/6/16,In-person,FIO,Homeless Individual(s),2016-0H6-002006,"COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY, BOSTON, MA
,",COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY,,Boston,MA,Public,3992,,,Male,39
2016,4/6/16,,FIO,,2016-0F1-009508,BOSTON (Logan Airport): Terminal C (Main),BOSTON (Logan Airport): Terminal C (Main),Logan Airport,Boston,MA,Transit,0772,Black,HAITIAN,Male,23
2016,4/6/16,,FIO,,2016-0F1-009508,BOSTON (Logan Airport): Terminal C (Main),BOSTON (Logan Airport): Terminal C (Main),Logan Airport,Boston,MA,Transit,3261,Black,HAITIAN,Male,23
2016,4/6/16,,FIO,,2016-0F1-009508,BOSTON (Logan Airport): Terminal C (Main),BOSTON (Logan Airport): Terminal C (Main),Logan Airport,Boston,MA,Transit,3027,Black,HAITIAN,Male,23
2016,4/6/16,In-person,FIO,Homeless Individual(s),2016-0H6-002013,"COLUMBIA ROAD & DORCHESTER AVENUE, BOSTON, MA
,",COLUMBIA ROAD & DORCHESTER AVENUE,,Boston,MA,Transit,,,,,
2016,4/7/16,Telephone,FIO,Homeless Individual(s),2016-0F1-009557,"BOSTON (Logan Airport): ATC Tower Bldg# 26 600
Control Tower Way",BOSTON (Logan Airport): ATC Tower Bldg# 26 600,Logan Airport,Boston,MA,Transit,3287,,,Male,45
2016,4/7/16,Telephone,FIO,Homeless Individual(s),2016-0F1-009557,"BOSTON (Logan Airport): ATC Tower Bldg# 26 600
Control Tower Way",BOSTON (Logan Airport): ATC Tower Bldg# 26 600,Logan Airport,Boston,MA,Transit,1588,,,Male,45
2016,4/7/16,Telephone,FIO,Homeless Individual(s),2016-0F1-009557,"BOSTON (Logan Airport): ATC Tower Bldg# 26 600
Control Tower Way",BOSTON (Logan Airport): ATC Tower Bldg# 26 600,Logan Airport,Boston,MA,Transit,3287,,,Female,41
2016,4/7/16,Telephone,FIO,Homeless Individual(s),2016-0F1-009557,"BOSTON (Logan Airport): ATC Tower Bldg# 26 600
Control Tower Way",BOSTON (Logan Airport): ATC Tower Bldg# 26 600,Logan Airport,Boston,MA,Transit,1588,,,Female,41
2016,4/7/16,Telephone,FIO,Possible Drug Activity,2016-0C5-001432,"RT 90,  SP Charlton, CHARLTON, MA
,",RT 90,,Charlton,MA,Public,,,,,
2016,4/8/16,Self-initiated,FIO,Possible Drug Activity,2016-0H3-002430,"RT 95 South, South of Exit 2, ATTLEBORO, MA
,",RT 95 South,,Attleboro,MA,Public,3970,White,WHITE,Male,25
2016,4/8/16,Self-initiated,FIO,Possible Drug Activity,2016-0H3-002430,"RT 95 South, South of Exit 2, ATTLEBORO, MA
,",RT 95 South,,Attleboro,MA,Public,3744,White,WHITE,Male,25
2016,4/8/16,Radio,FIO,,2016-0H4-002206,"HARRISON AVENUE,  BMC, BOSTON, MA
,",HARRISON AVENUE,Boston Medical Center,Boston,MA,Medical,2117,,,,
2016,4/12/16,Telephone,FIO,Homeless Individual(s),2016-0H4-002303,"MONSIGNOR OBRIEN HIGHWAY & LAND BOULEVARD, CAMBRIDGE, MA
,",MONSIGNOR OBRIEN HIGHWAY & LAND BOULEVARD,,Cambridge,MA,Public,3323,,,,
2016,4/12/16,,FIO,,2016-0F1-010120,"BOSTON, MA
,BOSTON (Logan Airport): Terminal B American Airlines Passenger",BOSTON,Logan Airport,Boston,MA,Transit,3027,,,,
2016,4/12/16,,FIO,,2016-0F1-010120,"BOSTON, MA
,BOSTON (Logan Airport): Terminal B American Airlines Passenger",BOSTON,Logan Airport,Boston,MA,Transit,3196,,,,
2016,4/14/16,In-person,FIO,Homeless Individual(s),2016-0D3-001459,"RT 136, SWANSEA, MA
,",RT 136,,Swansea,MA,Public,,White,,Male,62
2016,4/15/16,Radio,FIO,Possible Drug Activity,2016-0E4-002808,"DORCHESTER AVENUE & SOUTHAMPTON STREET, DOUBLE D'S PARKING LOT, BOSTON, MA
,",DORCHESTER AVENUE & SOUTHAMPTON STREET,Double D's Parking Lot,Boston,MA,Private,2226,,,,37
2016,4/15/16,Radio,FIO,Possible Drug Activity,2016-0E4-002808,"DORCHESTER AVENUE & SOUTHAMPTON STREET, DOUBLE D'S PARKING LOT, BOSTON, MA
,",DORCHESTER AVENUE & SOUTHAMPTON STREET,Double D's Parking Lot,Boston,MA,Private,2226,,,Male,49
2016,4/15/16,Radio,FIO,Possible Drug Activity,2016-0E4-002808,"DORCHESTER AVENUE & SOUTHAMPTON STREET, DOUBLE D'S PARKING LOT, BOSTON, MA
,",DORCHESTER AVENUE & SOUTHAMPTON STREET,Double D's Parking Lot,Boston,MA,Private,2226,,,,75
2016,4/16/16,Telephone,FIO,Possible Drug Activity,2016-0D2-001242,"RT 123,  SP NORWELL D-1, NORWELL, MA
,",RT 123,SP Norwell D-1,Norwell,MA,Law Enforcement/Government,3775,,,,
2016,4/18/16,Radio,FIO,Homeless Individual(s),2016-0F1-010733,"Rental Car Center (RCC), Consolidated Rental Car Facility CONRAC",Rental Car Center (RCC),Consolidated Rental Car,Boston,MA,Transit,3114,,,,
2016,4/19/16,FIO,FIO,,2016-0C5-001586,"RT 20 East,  C5 Sturbridge, STURBRIDGE, MA
,",RT 20 East,C5 Sturbridge,Sturbridge,MA,Law Enforcement/Government,3942,,,,34
2016,4/19/16,FIO,FIO,,2016-0C5-001586,"RT 20 East,  C5 Sturbridge, STURBRIDGE, MA
,",RT 20 East,C5 Sturbridge,Sturbridge,MA,Law Enforcement/Government,3765,,,,34
2016,4/19/16,FIO,FIO,,2016-0C5-001586,"RT 20 East,  C5 Sturbridge, STURBRIDGE, MA
,",RT 20 East,C5 Sturbridge,Sturbridge,MA,Law Enforcement/Government,3942,Hispanic,PUERTO RICAN,Female,33
2016,4/19/16,FIO,FIO,,2016-0C5-001586,"RT 20 East,  C5 Sturbridge, STURBRIDGE, MA
,",RT 20 East,C5 Sturbridge,Sturbridge,MA,Law Enforcement/Government,3765,Hispanic,PUERTO RICAN,Female,33
2016,4/19/16,Telephone,FIO,Homeless Individual(s),2016-0E4-002930,"MASS AVE CONNECTOR, BOSTON, MA
,",MASS AVE CONNECTOR,,Boston,MA,Public,1346,,,,
2016,4/19/16,Telephone,FIO,Homeless Individual(s),2016-0E4-002930,"MASS AVE CONNECTOR, BOSTON, MA
,",MASS AVE CONNECTOR,,Boston,MA,Public,1240,,,,
2016,4/20/16,Radio,FIO,,2016-0F1-011011,BOSTON (Logan Airport): Terminal C (Main),BOSTON (Logan Airport): Terminal C (Main),Logan Airport,Boston,MA,Transit,1434,,,,
2016,4/23/16,Telephone,FIO,Homeless Individual(s),2016-0F1-011241,"BOSTON (Logan Airport): Terminal A Terminal A Bldg#
31 100 Terminal Road",BOSTON (Logan Airport): Terminal A Terminal A Bldg#,Logan Airport,Boston,MA,Transit,3363,,,,
2016,4/23/16,Radio,FIO,Homeless Individual(s),2016-0H4-002530,"RIVERWAY & BROOKLINE AVENUE, BOSTON, MA
,",RIVERWAY & BROOKLINE AVENUE,,Boston,MA,Public,3065,Hispanic,,Male,45
2016,4/25/16,In-person,FIO,Homeless Individual(s),2016-0H4-002576,"Bowker Overpass, BOSTON, MA
,",Bowker Overpass,Bowker Overpass,Boston,MA,Public,3065,White,,Male,26
2016,4/26/16,Self-initiated,FIO,,2016-GEU-000478,"301 RT 1,  (WASHINGTON ST) PLAINRIDGE PARK CASINO, PLAINVILLE, MA
,",301 RT 1,Plainridge Park Casino,Plainville,MA,Private,,White,,Male,56
2016,4/26/16,Self-initiated,FIO,,2016-GEU-000478,"301 RT 1,  (WASHINGTON ST) PLAINRIDGE PARK CASINO, PLAINVILLE, MA
,",301 RT 1,Plainridge Park Casino,Plainville,MA,Private,,White,,Male,52
2016,4/30/16,Code-22,FIO,Homeless Individual(s),2016-0H6-002492,"COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY, BOSTON, MA
,",COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY,,Boston,MA,Public,3992,,,Male,50
2016,4/30/16,Code-22,FIO,Homeless Individual(s),2016-0H6-002492,"COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY, BOSTON, MA
,",COLUMBIA ROAD & GENERAL CASIMIR PULASKI SKYWAY,,Boston,MA,Public,3188,,,Male,50
2016,4/30/16,In-person,FIO,Homeless Individual(s),2016-0H4-002669,"Bowker Overpass @ Boylston Street, BOSTON, MA
,",Bowker Overpass @ Boylston Street,Bowker Overpass,Boston,MA,Public,3065,,,,
2016,4/30/16,Code-22,FIO,Homeless Individual(s),2016-0H6-002500,"COLUMBIA ROAD & DORCHESTER AVENUE, BOSTON, MA
,",COLUMBIA ROAD & DORCHESTER AVENUE,,Boston,MA,Public,,,,,
2016,5/2/16,Telephone,FIO,Homeless Individual(s),2016-0F1-012135,"BOSTON (Logan Airport): Terminal E E1082 DBL DR
EXIT @ BASE OF ESCALATOR",BOSTON (Logan Airport): Terminal E E1082 DBL DR,Logan Airport,Boston,MA,Transit,3287,,,,
2016,5/2/16,Telephone,FIO,Homeless Individual(s),2016-0F1-012227,BOSTON (Logan Airport): Terminal B (Pier A) Terminal B Pier A (American) Bldg# 27 200 Terminal Road,BOSTON (Logan Airport): Terminal B (Pier A) Terminal B Pier A (American) Bldg# 27 200 Terminal Road,Logan Airport,Boston,MA,Transit,2171,,,,
