Row Labels,Count of CaseNumber,,,,
2017-0A5-004440,2,,,,
2017-0A5-005027,2,,,,
2017-0A5-005239,2,,,,
2017-0A5-005358,2,,,,
2017-0A5-005668,2,,,,
2017-0B1-006413,2,,,,
2017-0B1-006779,2,,,,
2017-0B4-002044,2,,,,
2017-0C1-005580,2,,,,
2017-0C2-006307,2,,,,
2017-0C5-004722,2,,,,
2017-0D3-006135,2,,,,
2017-0D4-000781,2,,,,
2017-0D4-001687,2,,,,
2017-0D4-003713,2,,,,
2017-0D4-003848,2,,,,
2017-0D4-004987,2,,,,
2017-0D7-000630,2,,,,
2017-0D7-003001,2,,,,
2017-0E2-005902,2,,,,
2017-0E4-006669,2,,,,
2017-0E4-006720,2,,,,
2017-0E4-007282,2,,,,
2017-0E4-007307,2,,,,
2017-0E4-007373,2,,,,
2017-0E4-008907,2,,,,
2017-0E4-009290,2,,,,
2017-0E4-011388,2,,,,
2017-0F1-011107,2,,,,
2017-0F1-011241,2,,,,
2017-0F1-013474,2,,,,
2017-0F1-022535,2,,,,
2017-0F1-044433,2,,,,
2017-0F1-044949,2,,,,
2017-0H3-000256,2,,,,
2017-0H3-000688,2,,,,
2017-0H3-006938,2,,,,
2017-0H4-002149,2,,,,
2017-0H4-003252,2,,,,
2017-0H4-003288,2,,,,
2017-0H4-003366,2,,,,
2017-0H4-003431,2,,,,
2017-0H4-003491,2,,,,
2017-0H4-003493,2,,,,
2017-0H4-003694,2,,,,
2017-0H4-003769,2,,,,
2017-0H4-003787,2,,,,
2017-0H4-004409,2,,,,
2017-0H4-004553,2,,,,
2017-0H4-004840,2,,,,
2017-0H4-005173,2,,,,
2017-0H4-005589,2,,,,
2017-0H4-005775,2,,,,
2017-0H4-005796,2,,,,
2017-0H4-005928,2,,,,
2017-0H4-006102,2,,,,
2017-0H4-006147,2,,,,
2017-0H4-006572,2,,,,
2017-0H6-000927,2,,,,
2017-0H6-002501,2,,,,
2017-0H6-003742,2,,,,
2017-0H6-004133,2,,,,
2017-0H6-004992,2,,,,
2017-0H6-005304,2,,,,
2017-0H6-006881,2,,,,
2017-0H7-001893,2,,,,
2017-0H7-003146,2,,,,
2017-0H7-003988,2,,,,
2017-0H7-004511,2,,,,
