Sex,Age,Race,Ethnicity,Location,Date/Time,Source,Search,Outcome,Officer,Badge,Other Officer,Other Badge
MALE,26,BLACK,HISPANIC ORIGIN,0 PALMER ST,12/27/19 17:15,,,,"MENZ, JAMES",5298,,
MALE,55,WHITE,UNKNOWN,121 TAFFRAIL RD,1/6/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,57,WHITE,NOT OF HISPANIC ORIGIN,210 ARLINGTON ST,1/6/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,55,WHITE,NOT OF HISPANIC ORIGIN,,1/6/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,36,WHITE,NOT OF HISPANIC ORIGIN,845 HANCOCK ST,1/14/20 21:00,,,,"MENZ, JAMES",5298,,
,,,,74 INDEPENDENCE AV,1/17/20 1:14,BROCKTON PD INTEL,,,"MENZ, JAMES",5298,,
MALE,40,UNKNOWN,HISPANIC ORIGIN,74 INDEPENDENCE AV,1/17/20 1:14,BROCKTON PD INTEL,,,"MENZ, JAMES",5298,,
MALE,51,WHITE,NOT OF HISPANIC ORIGIN,38 BROAD ST,1/23/20 8:30,ARREST WARRANT,,,"MENZ, JAMES",5298,,
FEMALE,42,WHITE,UNKNOWN,41 WEBSTER ST,1/29/20 9:15,,,,"MENZ, JAMES",5298,,
MALE,33,WHITE,NOT OF HISPANIC ORIGIN,1400 HANCOCK ST,10/31/19 22:01,,,,"GOLDRICK, JAMES",7157,,
MALE,62,WHITE,NOT OF HISPANIC ORIGIN,73 BICKNELL ST,5/13/19 16:27,,,,"GOLDRICK, JAMES",7157,,
MALE,25,WHITE,NOT OF HISPANIC ORIGIN,85 SEA ST,12/1/19 0:00,,,,"FOLAN, PATRICK",6621,,
MALE,26,,UNKNOWN,59 HENRY ST,1/30/20 13:45,,,,"MENZ, JAMES",5298,,
MALE,29,BLACK,,0 FORT ST,2/6/20 11:55,,,,"MENZ, JAMES",5298,,
MALE,53,WHITE,NOT OF HISPANIC ORIGIN,36 ADELE RD,2/14/20 12:54,SECT 12,YES,,"MENZ, JAMES",5298,,
MALE,42,WHITE,NOT OF HISPANIC ORIGIN,,1/16/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,37,BLACK,HISPANIC ORIGIN,26 YARDARM LN,4/12/18 0:00,,,,"MENZ, JAMES",5298,,
MALE,48,BLACK,HISPANIC ORIGIN,26 YARDARM LN,2/21/19 0:00,,,,"MENZ, JAMES",5298,,
MALE,22,BLACK,NOT OF HISPANIC ORIGIN,0 BATTERYMARCH PRK,2/24/20 18:16,,,,"COOPER, DAVID",9539,,
MALE,23,BLACK,HISPANIC ORIGIN,0 BATTERYMARCH PRK,2/24/20 18:16,,,,"COOPER, DAVID",9539,,
MALE,25,WHITE,NOT OF HISPANIC ORIGIN,0 BATTERYMARCH PRK,2/24/20 18:16,,,,"COOPER, DAVID",9539,,
MALE,41,,NOT OF HISPANIC ORIGIN,,3/2/20 14:33,94C TRAFFICKING/HUMAN TRAFFICKING,,,"MENZ, JAMES",5298,,
MALE,45,BLACK,UNKNOWN,,2/27/20 23:43,,,,"MENZ, JAMES",5298,,
MALE,63,,,694 HANCOCK ST,3/4/20 11:20,,,,"MENZ, JAMES",5298,,
MALE,50,WHITE,NOT OF HISPANIC ORIGIN,1000 SOUTHERN ARTERY,2/28/20 0:00,ROBBERY ACTIVITY,,,"MENZ, JAMES",5298,,
FEMALE,54,BLACK,NOT OF HISPANIC ORIGIN,270 QUARRY ST,3/6/20 8:30,94C/PROSTITUTION,,,"MENZ, JAMES",5298,,
FEMALE,29,WHITE,NOT OF HISPANIC ORIGIN,530 SEA ST,3/9/20 10:45,,,,"MENZ, JAMES",5298,,
MALE,35,BLACK,UNKNOWN,220 QUINCY AV,3/10/20 11:34,SEXUAL PREDATOR,YES,,"MENZ, JAMES",5298,,
,,,,131 CHUBBUCK ST,3/13/20 8:00,,,,"BURGIO, STEPHEN",4306,,
MALE,,WHITE,HISPANIC ORIGIN,131 CHUBBUCK ST,3/13/20 8:00,,,,"BURGIO, STEPHEN",4306,,
MALE,19,BLACK,HISPANIC ORIGIN,131 CHUBBUCK ST,3/13/20 8:00,,,,"BURGIO, STEPHEN",4306,,
MALE,41,BLACK,NOT OF HISPANIC ORIGIN,131 CHUBBUCK ST,3/13/20 8:00,,,,"BURGIO, STEPHEN",4306,,
MALE,56,WHITE,NOT OF HISPANIC ORIGIN,38 RANDLETT ST,3/14/20 9:00,RESTRAINING ORDER,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,NOT OF HISPANIC ORIGIN,10 WINTER ST,3/7/20 17:05,FIREARM ARREST,,,", ",,,
MALE,42,WHITE,NOT OF HISPANIC ORIGIN,61 MARTENSEN ST,2/16/20 0:00,SUSPICIOUS PAWNS,,,"MENZ, JAMES",5298,,
MALE,29,WHITE,UNKNOWN,4 PRICE ST,2/12/20 0:00,PAWN,,,"MENZ, JAMES",5298,,
FEMALE,26,WHITE,NOT OF HISPANIC ORIGIN,100 COVEWAY,3/20/20 9:38,SEARCH WARRANT,,,"MENZ, JAMES",5298,,
MALE,25,WHITE,,100 COVEWAY,3/20/20 9:38,SEARCH WARRANT,,,"MENZ, JAMES",5298,,
MALE,34,WHITE,UNKNOWN,100 COVEWAY,3/20/20 9:38,SEARCH WARRANT,,,"MENZ, JAMES",5298,,
MALE,40,WHITE,NOT OF HISPANIC ORIGIN,21 HUDSON ST,3/18/20 0:00,,,,"MENZ, JAMES",5298,,
MALE,37,WHITE,UNKNOWN,1 AVALON DR,3/17/20 0:00,PAWNS/DECENT BOP,,,"MENZ, JAMES",5298,,
MALE,36,BLACK,HISPANIC ORIGIN,20 BEACON ST,3/16/20 0:00,PAWN/DECENT MA BOP,,,"MENZ, JAMES",5298,,
MALE,40,WHITE,NOT OF HISPANIC ORIGIN,15 HARDWICK RD,3/16/20 0:00,BOSTON PAWN/QUINCY RESIDENT,,,"MENZ, JAMES",5298,,
MALE,24,WHITE,HISPANIC ORIGIN,8 CARLMARK ST,3/25/20 0:00,EXTORTION SUSPECT,,,"MENZ, JAMES",5298,,
MALE,30,BLACK,NOT OF HISPANIC ORIGIN,,2/24/20 0:00,PAWN,,,"MENZ, JAMES",5298,,
MALE,38,WHITE,NOT OF HISPANIC ORIGIN,72 NEWBURY AV,2/28/20 0:00,PAWNS,,,"MENZ, JAMES",5298,,
